correctness,confidence,entropy,modified entropy,scaled logits,membership
1,0.9999971,-4.5687255e-05,-1.1441834e-11,12.74371,1
1,0.999829,-0.0018571438,-3.907073e-08,8.673642,1
1,0.81438637,-0.6354543,-0.054942653,1.4787676,1
1,0.99999774,-3.546085e-05,-6.9809948e-12,12.997944,1
1,0.9999963,-5.3518364e-05,-2.0098315e-11,12.508394,1
1,0.9999909,-0.00012177971,-1.4004727e-10,11.605085,1
1,0.99999964,-5.9558297e-06,-2.1483859e-13,14.843773,1
1,0.73894364,-0.8086918,-0.11472771,1.0404854,1
1,0.9992705,-0.006037246,-1.0567688e-06,7.2224197,1
0,0.25654075,-0.569576,-2.0228486,-1.0640265,1
1,0.99999905,-1.3899358e-05,-1.6911737e-12,13.862943,1
1,0.9971033,-0.020825759,-1.5452386e-05,5.8412733,1
1,0.99940413,-0.005297234,-6.4937683e-07,7.4248962,1
1,0.99994296,-0.0007008492,-4.1077954e-09,9.771672,1
0,1.4996886e-05,-0.02404622,-16.846151,-11.107653,1
1,0.999987,-0.00017007207,-2.6651895e-10,11.251024,1
0,0.006508756,-0.09041775,-9.138632,-5.028077,1
1,0.99999964,-5.3335025e-06,-1.8831506e-13,14.843773,1
1,0.9989608,-0.008948394,-1.7428926e-06,6.8682575,1
0,0.42511174,-0.9583935,-0.80557966,-0.3018236,1
0,0.09900739,-0.37946725,-4.058558,-2.2083025,1
1,0.99772537,-0.017619058,-8.839805e-06,6.0836596,1
1,0.99993783,-0.0006721438,-7.597168e-09,9.685614,1
1,1.0,-2.214592e-07,-0.0,inf,1
1,0.99999803,-2.8827548e-05,-5.4860565e-12,13.139023,1
0,0.347889,-1.003451,-1.0632335,-0.62833124,1
1,0.9999989,-1.7167164e-05,-1.4027208e-12,13.745159,1
0,1.3241586e-05,-0.009850305,-17.947548,-11.232135,1
1,0.9999304,-0.0007886475,-7.6526e-09,9.572414,1
1,1.0,-5.072469e-07,-0.0,inf,1
1,0.99999857,-2.2413824e-05,-3.0259478e-12,13.457478,1
1,0.99998724,-0.0001679821,-2.3583077e-10,11.269544,1
1,0.9999976,-3.74121e-05,-8.447328e-12,12.9466505,1
1,0.98511523,-0.08155311,-0.0004175923,4.19242,1
1,0.99993837,-0.0007400435,-5.0000137e-09,9.694281,1
1,0.99987084,-0.0013098354,-3.225584e-08,8.954304,1
1,0.9999772,-0.0002983705,-6.8503486e-10,10.687474,1
1,0.9984683,-0.0118146045,-4.4578765e-06,6.479831,1
1,0.74448144,-0.6478165,-0.1395125,1.0693928,1
0,1.4694791e-07,-0.007179301,-22.913685,-15.733188,1
