correctness,confidence,entropy,modified entropy,scaled logits
1,0.99989617,-0.0010570214,-2.1511555e-08,9.172639
1,0.99999964,-6.4473757e-06,-2.5302728e-13,14.843773
1,1.0,-2.1602999e-07,-0.0,inf
1,0.9999143,-0.0010007288,-1.02251345e-08,9.364438
1,0.99996585,-0.00042180356,-1.6740934e-09,10.284613
1,0.99969566,-0.002885324,-1.6703166e-07,8.097056
1,0.99990296,-0.0010466943,-1.6580692e-08,9.240328
1,0.9999963,-5.4918753e-05,-1.799151e-11,12.508394
1,0.99999845,-2.3324164e-05,-3.2420009e-12,13.377435
1,0.9999621,-0.0004529689,-2.3871307e-09,10.180296
1,0.99996287,-0.00044477955,-2.2764526e-09,10.200949
1,1.0,-1.1377205e-08,-0.0,inf
1,0.99911207,-0.0077506886,-1.3383019e-06,7.0257287
1,0.9999193,-0.00086693175,-1.22951835e-08,9.424633
1,0.99999774,-3.4391956e-05,-7.7207355e-12,12.997944
1,0.99999464,-7.976925e-05,-3.6958374e-11,12.135717
1,1.0,-4.7102876e-07,-0.0,inf
1,0.99999905,-1.6435682e-05,-1.3847375e-12,13.862943
1,0.999187,-0.0078092595,-8.6235497e-07,7.113957
1,0.9996807,-0.0030564407,-1.7533802e-07,8.049053
1,0.9999918,-0.00011177589,-1.0276359e-10,11.70827
1,0.9999871,-0.0001704953,-2.6389466e-10,11.2602415
1,1.0,-1.60461e-07,-0.0,inf
1,0.9991352,-0.0076159276,-1.213993e-06,7.0521426
1,0.9999868,-0.00017115983,-2.7227673e-10,11.237356
1,0.99998176,-0.00023984419,-4.4384466e-10,10.911929
1,0.99997604,-0.0003131838,-7.3502016e-10,10.639056
1,0.9999987,-2.0582615e-05,-2.9180187e-12,13.544489
1,0.999998,-3.0295116e-05,-6.9693223e-12,13.10917
1,0.99998,-0.00025257544,-6.651818e-10,10.818401
1,0.9994988,-0.004381927,-4.920375e-07,7.5979733
1,0.99997526,-0.0003165432,-8.41567e-10,10.607229
1,0.9999995,-8.695419e-06,-4.154286e-13,14.55609
1,0.99999386,-8.4985244e-05,-6.2066546e-11,12.000797
1,0.9999704,-0.000367574,-1.3355145e-09,10.426912
1,0.99995154,-0.0005589298,-3.9459658e-09,9.934752
1,0.9999995,-7.752865e-06,-3.243001e-13,14.55609
1,0.9999999,-4.1431263e-06,-2.5872977e-14,15.942385
1,0.9999246,-0.0008983235,-7.462532e-09,9.49263
1,0.99997425,-0.00033656243,-8.8311564e-10,10.567081
1,0.99966687,-0.0033383588,-1.6542585e-07,8.006643
1,0.9999117,-0.001029799,-1.04671996e-08,9.334971
1,0.9999791,-0.00027356503,-5.9298144e-10,10.774725
1,0.99999964,-5.5394257e-06,-2.0919856e-13,14.843773
1,0.999998,-3.0742463e-05,-6.458895e-12,13.10917
1,0.9980405,-0.014751004,-7.24205e-06,6.2331033
1,1.0,-1.5972192e-06,-2.9831382e-15,inf
1,0.9999989,-1.6482742e-05,-1.7875392e-12,13.745159
1,0.9996775,-0.0031979878,-1.548163e-07,8.039021
1,0.9999991,-1.27072035e-05,-1.3124198e-12,13.927482
1,0.99875486,-0.010447982,-2.4617202e-06,6.6872606
1,0.9999999,-1.8311321e-06,-1.8774128e-14,15.942385
1,0.99999094,-0.000120518474,-1.393459e-10,11.611643
1,0.9999883,-0.00015470965,-2.099198e-10,11.357406
1,0.99940366,-0.0053841346,-5.936613e-07,7.4240956
1,1.0,-8.479464e-07,-0.0,inf
1,1.0,-3.7142735e-07,-0.0,inf
1,0.99999845,-2.3943952e-05,-3.1055193e-12,13.377435
1,0.9999807,-0.00025055162,-5.256637e-10,10.85477
1,0.9999788,-0.00025574464,-8.5194807e-10,10.76058
1,0.9999983,-2.5299061e-05,-4.608278e-12,13.268235
1,0.9999744,-0.00031770868,-9.718317e-10,10.57405
1,0.9983776,-0.012108491,-5.2397245e-06,6.4222383
1,0.9994336,-0.0048933234,-6.232501e-07,7.475603
1,0.9999987,-2.2327455e-05,-2.2418322e-12,13.544489
1,0.9999957,-6.1709485e-05,-2.67981e-11,12.358862
1,0.99995303,-0.00058264786,-2.8441864e-09,9.965987
1,0.99981457,-0.0020515854,-4.605965e-08,8.592648
1,0.99999714,-4.325139e-05,-1.0081908e-11,12.764328
1,0.99999845,-2.507994e-05,-3.1363143e-12,13.377435
1,0.9999976,-3.3768745e-05,-1.0081631e-11,12.9466505
1,0.9999982,-2.699154e-05,-4.711832e-12,13.234333
1,0.99999714,-4.4263757e-05,-1.16441206e-11,12.764328
1,0.9999917,-0.00010652571,-1.3358353e-10,11.70105
1,0.99998575,-0.00019162329,-2.743107e-10,11.159055
1,0.99999475,-7.3377196e-05,-4.169674e-11,12.158191
1,0.9999989,-1.5599708e-05,-1.5364936e-12,13.745159
1,0.9994236,-0.0048957616,-6.6154627e-07,7.4581723
1,1.0,-1.3785437e-07,-0.0,inf
1,0.999852,-0.0014877348,-4.209168e-08,8.818162
1,0.99999976,-4.558186e-06,-1.0658283e-13,15.249238
1,0.9992891,-0.006290462,-8.723824e-07,7.248261
1,0.99999964,-6.0476677e-06,-1.7647936e-13,14.843773
1,0.9999849,-0.00020570638,-2.8615962e-10,11.102128
1,0.99996156,-0.0004729704,-2.194674e-09,10.166244
1,0.99975306,-0.0024667485,-1.0068377e-07,8.30611
1,0.9999836,-0.00020113213,-5.169157e-10,11.018744
1,0.99997425,-0.0003282887,-9.474784e-10,10.567081
1,0.9996158,-0.0038402444,-2.1180395e-07,7.863933
1,0.99998534,-0.00018239948,-4.0957038e-10,11.130186
1,0.99994963,-0.0006041297,-3.7254377e-09,9.896146
1,0.99995697,-0.0005042836,-3.0337954e-09,10.053464
1,0.99958485,-0.0038129606,-3.1473314e-07,7.786464
1,0.9987478,-0.011873418,-1.9161503e-06,6.6816206
1,0.9999999,-3.524157e-06,-3.044542e-14,15.942385
1,1.0,-1.2852283e-06,-3.094763e-15,inf
1,0.9979314,-0.015117958,-8.371066e-06,6.1788225
1,0.9999999,-3.0408337e-06,-2.7148416e-14,15.942385
1,0.999732,-0.0027151958,-1.07396836e-07,8.224321
1,0.9999989,-1.6491462e-05,-2.1896987e-12,13.745159
1,0.9999704,-0.00037879735,-1.1885973e-09,10.426912
1,0.9994153,-0.005419714,-5.5941064e-07,7.44379
1,0.9999866,-0.00018617386,-2.2253664e-10,11.219419
1,1.0,-1.0003644e-06,-0.0,inf
1,0.9999914,-0.00012176114,-9.3650344e-11,11.66571
1,0.9999689,-0.00040023122,-1.248003e-09,10.377833
1,0.99999845,-2.6177213e-05,-3.1878502e-12,13.377435
1,0.99991924,-0.0009096527,-1.0124704e-08,9.423895
1,0.99913675,-0.0076842196,-1.1094849e-06,7.053938
1,0.9999801,-0.00024366191,-7.0863254e-10,10.824371
1,1.0,-2.2280276e-06,-4.8962045e-15,inf
1,0.999996,-5.611572e-05,-3.090883e-11,12.430836
1,0.99995697,-0.000509362,-3.0497154e-09,10.053464
1,0.999561,-0.0039472347,-3.6805613e-07,7.730599
1,0.9999056,-0.0011145504,-1.1115262e-08,9.26773
1,0.9999991,-1.2881319e-05,-1.4113337e-12,13.927482
1,0.99975145,-0.002437064,-1.0982218e-07,8.299612
1,0.9999913,-0.00011512266,-1.3176162e-10,11.651917
1,0.99999976,-4.902575e-06,-7.9649036e-14,15.249238
1,0.9997626,-0.0022892752,-1.0470567e-07,8.345505
1,0.99953914,-0.0041083246,-4.0551623e-07,7.6819487
1,0.99990064,-0.0011643252,-1.2858554e-08,9.216652
1,0.99999803,-2.9995266e-05,-5.3181366e-12,13.139023
1,0.99999905,-1.4847304e-05,-1.7343015e-12,13.862943
1,0.9999944,-8.177038e-05,-4.47395e-11,12.092232
1,0.999998,-3.1248106e-05,-5.3068825e-12,13.10917
1,0.9999993,-1.234312e-05,-7.162308e-13,14.150625
1,0.9994218,-0.0053446456,-5.211159e-07,7.45497
1,0.9999988,-1.8135685e-05,-2.6088385e-12,13.639799
1,0.9999683,-0.00039014476,-1.5155132e-09,10.358857
1,1.0,-6.467634e-07,-0.0,inf
1,0.99997807,-0.00027501117,-7.8518736e-10,10.7274275
1,0.9999963,-5.1834417e-05,-2.2765251e-11,12.508394
1,0.99924815,-0.0069750575,-7.8882863e-07,7.192218
1,0.99999547,-6.524573e-05,-2.993133e-11,12.304794
1,0.9999993,-1.1842662e-05,-6.835369e-13,14.150625
1,0.9991365,-0.006967025,-1.4898321e-06,7.0536613
1,0.9991708,-0.007781918,-9.0975095e-07,7.094196
1,0.99986595,-0.0015446066,-2.2586152e-08,8.917157
1,0.9999983,-2.4519022e-05,-4.9029548e-12,13.268235
1,0.99999475,-7.654239e-05,-3.526099e-11,12.158191
1,1.0,-6.619361e-07,-0.0,inf
